,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
76,2020-04-22,137.81110883375334,94.03042168864415,191.68305971195758,137.81110883375334,137.81110883375334,4.626443976004409,4.626443976004409,4.626443976004409,4.626443976004409,4.626443976004409,4.626443976004409,0.0,0.0,0.0,142.43755280975773
77,2020-04-23,138.43332118966782,92.74507789924034,189.6096570399808,138.43332118966782,138.43332118966782,4.724785144378373,4.724785144378373,4.724785144378373,4.724785144378373,4.724785144378373,4.724785144378373,0.0,0.0,0.0,143.15810633404618
78,2020-04-24,139.0555335455823,93.72821198389194,187.98078727028806,139.0555335455823,139.0555335455823,2.1872356016113943,2.1872356016113943,2.1872356016113943,2.1872356016113943,2.1872356016113943,2.1872356016113943,0.0,0.0,0.0,141.2427691471937
79,2020-04-27,140.9221706133258,98.4931334645089,196.39128483995185,140.9221706133258,140.9221706133258,4.48069848124678,4.48069848124678,4.48069848124678,4.48069848124678,4.48069848124678,4.48069848124678,0.0,0.0,0.0,145.40286909457257
80,2020-04-28,141.54438296924033,96.89194475843854,192.79684602310107,141.54438296924033,141.54438296924033,4.564475776256928,4.564475776256928,4.564475776256928,4.564475776256928,4.564475776256928,4.564475776256928,0.0,0.0,0.0,146.10885874549726
81,2020-04-29,142.45799825505782,95.09826782805803,195.2922908683192,142.45799825505782,142.45799825505782,4.626443975999692,4.626443975999692,4.626443975999692,4.626443975999692,4.626443975999692,4.626443975999692,0.0,0.0,0.0,147.0844422310575
82,2020-04-30,143.37161354087533,102.9577019857917,194.8639374000897,143.37161354087533,143.37161354087533,4.724785144373791,4.724785144373791,4.724785144373791,4.724785144373791,4.724785144373791,4.724785144373791,0.0,0.0,0.0,148.0963986852491
83,2020-05-01,144.28522882669282,97.37529864166976,193.49309069692012,144.28522882669282,144.28522882669282,2.1872356016346393,2.1872356016346393,2.1872356016346393,2.1872356016346393,2.1872356016346393,2.1872356016346393,0.0,0.0,0.0,146.47246442832744
84,2020-05-04,147.02607468414536,106.09323528384678,200.56179706163823,147.02607468414536,147.02607468414536,4.480698481255497,4.480698481255497,4.480698481255497,4.480698481255497,4.480698481255497,4.480698481255497,0.0,0.0,0.0,151.50677316540086
85,2020-05-05,147.9396899699629,107.47559501108012,201.0423055315374,147.9396899699629,147.9396899699629,4.564475776254416,4.564475776254416,4.564475776254416,4.564475776254416,4.564475776254416,4.564475776254416,0.0,0.0,0.0,152.50416574621732
86,2020-05-06,148.85330525578038,110.22458655133241,203.03265346503485,148.85330525578038,148.85330525578038,4.62644397600272,4.62644397600272,4.62644397600272,4.62644397600272,4.62644397600272,4.62644397600272,0.0,0.0,0.0,153.4797492317831
87,2020-05-07,149.7669205415979,109.62789586499977,204.33551482625379,149.7669205415979,149.7669205415979,4.7247851443772015,4.7247851443772015,4.7247851443772015,4.7247851443772015,4.7247851443772015,4.7247851443772015,0.0,0.0,0.0,154.4917056859751
88,2020-05-08,150.68053582741538,107.108581718287,199.01193206089008,150.68053582741538,150.68053582741538,2.1872356016347476,2.1872356016347476,2.1872356016347476,2.1872356016347476,2.1872356016347476,2.1872356016347476,0.0,0.0,0.0,152.86777142905012
89,2020-05-11,154.4696796471138,110.83675926707515,202.8809937278641,154.4696796471138,154.4696796471138,4.480698481258513,4.480698481258513,4.480698481258513,4.480698481258513,4.480698481258513,4.480698481258513,0.0,0.0,0.0,158.9503781283723
90,2020-05-12,155.73272758701327,115.70014485841729,208.01757047446472,155.73272758701327,155.73272758701327,4.56447577625292,4.56447577625292,4.56447577625292,4.56447577625292,4.56447577625292,4.56447577625292,0.0,0.0,0.0,160.2972033632662
91,2020-05-13,156.99577552691272,115.63967446878445,213.94639687414366,156.99577552691272,156.99577552691272,4.626443976001673,4.626443976001673,4.626443976001673,4.626443976001673,4.626443976001673,4.626443976001673,0.0,0.0,0.0,161.6222195029144
92,2020-05-14,158.2588234668122,116.67010793213441,212.1137910438469,158.2588234668122,158.2588234668122,4.72478514437262,4.72478514437262,4.72478514437262,4.72478514437262,4.72478514437262,4.72478514437262,0.0,0.0,0.0,162.98360861118482
93,2020-05-15,159.52187140671168,112.9192855174508,208.9521710345808,159.52187140671168,159.52187140671168,2.1872356016243257,2.1872356016243257,2.1872356016243257,2.1872356016243257,2.1872356016243257,2.1872356016243257,0.0,0.0,0.0,161.70910700833602
94,2020-05-18,163.3110152264101,121.37193464857367,214.76891175738052,163.3110152264101,163.3110152264101,4.48069848123207,4.48069848123207,4.48069848123207,4.48069848123207,4.48069848123207,4.48069848123207,0.0,0.0,0.0,167.79171370764217
95,2020-05-19,164.57406316630957,118.82912909298717,217.7315212048747,164.57406316630957,164.57406316630957,4.564475776251422,4.564475776251422,4.564475776251422,4.564475776251422,4.564475776251422,4.564475776251422,0.0,0.0,0.0,169.13853894256098
96,2020-05-20,165.83711110620905,124.78680551531353,218.76602917828177,165.83711110620905,165.83711110620905,4.626443976000829,4.626443976000829,4.626443976000829,4.626443976000829,4.626443976000829,4.626443976000829,0.0,0.0,0.0,170.4635550822099
97,2020-05-21,167.48545485682652,127.73023963672978,223.39317770490268,167.48545485682652,167.48545485682652,4.724785144384025,4.724785144384025,4.724785144384025,4.724785144384025,4.724785144384025,4.724785144384025,0.0,0.0,0.0,172.21024000121054
98,2020-05-22,169.13379860744402,122.38356700480014,215.38382909612378,169.13379860744402,169.13379860744402,2.1872356016139016,2.1872356016139016,2.1872356016139016,2.1872356016139016,2.1872356016139016,2.1872356016139016,0.0,0.0,0.0,171.32103420905793
99,2020-05-26,175.72717360991388,135.52459058545548,228.3424089096025,175.72717360991388,175.72717360991388,4.564475776248908,4.564475776248908,4.564475776248908,4.564475776248908,4.564475776248908,4.564475776248908,0.0,0.0,0.0,180.2916493861628
100,2020-05-27,177.37551736053135,130.5287819297681,227.34996478809424,177.37551736053135,177.37551736053135,4.626443975999983,4.626443975999983,4.626443975999983,4.626443975999983,4.626443975999983,4.626443975999983,0.0,0.0,0.0,182.00196133653134
101,2020-05-28,179.02386111114885,136.25087846105106,229.3420908694989,179.02386111114885,179.02386111114885,4.72478514437867,4.72478514437867,4.72478514437867,4.72478514437867,4.72478514437867,4.72478514437867,0.0,0.0,0.0,183.74864625552752
102,2020-05-29,180.6722048617663,131.47663869057357,227.4413014643034,180.6722048617663,180.6722048617663,2.187235601647679,2.187235601647679,2.187235601647679,2.187235601647679,2.187235601647679,2.187235601647679,0.0,0.0,0.0,182.85944046341396
103,2020-06-01,185.61723611361873,143.26379535552059,238.8926926680429,185.61723611361873,185.61723611361873,4.480698481249505,4.480698481249505,4.480698481249505,4.480698481249505,4.480698481249505,4.480698481249505,0.0,0.0,0.0,190.09793459486824
104,2020-06-02,187.26557986423617,144.8135816578158,239.52778472840922,187.26557986423617,187.26557986423617,4.564475776246397,4.564475776246397,4.564475776246397,4.564475776246397,4.564475776246397,4.564475776246397,0.0,0.0,0.0,191.83005564048256
105,2020-06-03,188.91392361485367,146.83462720715943,243.9514273742461,188.91392361485367,188.91392361485367,4.626443976003011,4.626443976003011,4.626443976003011,4.626443976003011,4.626443976003011,4.626443976003011,0.0,0.0,0.0,193.54036759085668
106,2020-06-04,190.8404176580011,147.80874385007942,243.42905783618548,190.8404176580011,190.8404176580011,4.724785144382081,4.724785144382081,4.724785144382081,4.724785144382081,4.724785144382081,4.724785144382081,0.0,0.0,0.0,195.56520280238317
107,2020-06-05,192.76691170114853,149.6811207356489,241.969393480447,192.76691170114853,192.76691170114853,2.1872356016477887,2.1872356016477887,2.1872356016477887,2.1872356016477887,2.1872356016477887,2.1872356016477887,0.0,0.0,0.0,194.95414730279631
108,2020-06-08,198.5463938305909,157.39742857216805,254.07244379499642,198.5463938305909,198.5463938305909,4.480698481252521,4.480698481252521,4.480698481252521,4.480698481252521,4.480698481252521,4.480698481252521,0.0,0.0,0.0,203.0270923118434
109,2020-06-09,200.4728878737383,159.9105265399546,252.3301771584229,200.4728878737383,200.4728878737383,4.564475776256451,4.564475776256451,4.564475776256451,4.564475776256451,4.564475776256451,4.564475776256451,0.0,0.0,0.0,205.03736364999475
110,2020-06-10,202.39938191688574,157.9498370924973,255.44649464291774,202.39938191688574,202.39938191688574,4.626443976006038,4.626443976006038,4.626443976006038,4.626443976006038,4.626443976006038,4.626443976006038,0.0,0.0,0.0,207.0258258928918
111,2020-06-11,204.32587596003316,161.65090054621183,256.0998729509746,204.32587596003316,204.32587596003316,4.724785144377498,4.724785144377498,4.724785144377498,4.724785144377498,4.724785144377498,4.724785144377498,0.0,0.0,0.0,209.05066110441066
112,2020-06-12,206.2523700031806,160.87178180299446,254.69777862643113,206.2523700031806,206.2523700031806,2.187235601626832,2.187235601626832,2.187235601626832,2.187235601626832,2.187235601626832,2.187235601626832,0.0,0.0,0.0,208.43960560480744
113,2020-06-15,212.03185213262296,168.63253985509053,265.5757434041756,212.03185213262296,212.03185213262296,4.480698481261238,4.480698481261238,4.480698481261238,4.480698481261238,4.480698481261238,4.480698481261238,0.0,0.0,0.0,216.5125506138842
114,2020-06-16,213.95844486042176,171.46277443134062,267.2978262167893,213.95844486042176,213.95844486042176,4.564475776254953,4.564475776254953,4.564475776254953,4.564475776254953,4.564475776254953,4.564475776254953,0.0,0.0,0.0,218.52292063667673
